name,brand_name,price_of_the_bottle,mrp_of_the_bottle,rating,number_of_rating,size_of_the_bottle,key_ingredients,key_benifits,category
Dr. Reckeweg R89 Hair Care Drop,Dr Reckeweg & Co,279.0,310.0,4.3,1462.0,30.0,It helps enhance hair growth and strength,Helps prevent hair fall and baldnessPrevents premature greying and thinning of hairPromotes strong and healthy hairRestores hair strength and volume,Hair care
Dr Willmar Schwabe Germany Cineraria Maritima Without Alcohol Eye Drop,Dr Willmar Schwabe India Pvt Ltd,169.0,175.0,4.6,1739.0,10.0,Seneciobicolor (cineraria maritima),It is an alcohol-free homoeopathic formulationHelps deal with dry eye syndrome and computer vision syndromeRigorous stability studies conducted for years,ENT
Medisynth Gasgan Forte Drop,Medisynth Chemicals Pvt Ltd,154.0,175.0,4.4,149.0,30.0,Carbo vegetabilis,Relieves stomach aches and gastric disordersPrevents constipationImproves digestion,Digestion
Dr. Reckeweg R41 Sexual Neurasthenia Drop,Dr Reckeweg & Co,227.0,270.0,4.1,1381.0,22.0,"Acidum phosphoricum, Agnus castus, China, Conium, Damiana, Phosphorus, Sepia, Testis, Aqua, Ethanol",Helps relieve mental and physical exhaustionImproves power and performanceBoosts vigour and vitalityHelps improve energy levels,Mental wellness
Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,Dr Reckeweg & Co,165.0,185.0,4.7,1037.0,20.0,Calcarea Phosphorica,Aids in relieving teething issues in infantsHelps in stimulating teeth eruptionsAids in recovering from fracture,Dental care
Dr. Reckeweg Berberis Vul Mother Tincture Q,Dr Reckeweg & Co,241.0,255.0,4.5,857.0,20.0,Berberis Vulgaris,"Beneficial in case of kidney stones, constipation, and diarrhoeaProvides relief in case of arthritic painsHelps to prevent inflammation and pain in gall bladderBeneficial in skin related ailmentsHelps to overcome pains related to renal calculi",Digestion
LDD Bioscience Tone Max 5000 Drop,LDD Bioscience Pvt Ltd,329.0,370.0,0.0,0.0,30.0,Damiana,Improves and stimulates libido and increase vigourHas aphrodisiac properties and improves overall health,Health supplement
SBL Clearstone Drop,SBL Pvt Ltd,137.0,165.0,4.5,965.0,30.0,"Berberis vulgaris Q, Sarsaparilla Q, Ocimum canum Q, Solidago virgaurea Q, Pareira brava Q, Senecio aureus Q, Excipients, Alcohol",It is useful in case of kidney and ureter stonesIt helps to relieve the urinary tract blockageIt helps to dissolve the stones in the kidney,kidney
Bakson Y-Lax Tablet,Bakson Drugs & Pharmaceuticals Pvt. Ltd.,154.0,215.0,4.5,755.0,75.0,,"Bakson Y Lax tablets are effective homeopathic tablets for constipation that are indicated in constipationY Lax tablets help in overall improvement of digestive healthUsed to relieve the associated complaints of bloating sensation, flatulence, abdominal pain and straining during defecationY Lax tablets have a laxative action that helps in toning up the intestines, regulating the bowel habits",Digestion
SBL Nux Vomica Dilution 30 CH,SBL Pvt Ltd,88.0,100.0,4.6,2500.0,30.0,Helps improve mood swings and anger,"Useful for irritability, nausea, and vomiting


Provides relief in case of severe headaches and irritation in the eyes


Facilitates aid in case of flu, mouth ulcers, and tooth sensitivity",Eye Care
