name,brand_name,price_of_the_bottle,mrp_of_the_bottle,rating,number_of_rating,size_of_the_bottle,key_ingredients,key_benifits,category
Dr. Reckeweg R89 Hair Care Drop,Dr Reckeweg & Co,ƒ??279,ƒ??310,4.3,1462 Ratings,30 ml Drop,It helps enhance hair growth and strength,Helps prevent hair fall and baldnessPrevents premature greying and thinning of hairPromotes strong and healthy hairRestores hair strength and volume,Hair care
Dr Willmar Schwabe Germany Cineraria Maritima Without Alcohol Eye Drop,Dr Willmar Schwabe India Pvt Ltd,ƒ??169,ƒ??175,4.6,1739 Ratings,10 ml Eye Drop,Seneciobicolor (cineraria maritima),It is an alcohol-free homoeopathic formulationHelps deal with dry eye syndrome and computer vision syndromeRigorous stability studies conducted for years,ENT
Medisynth Gasgan Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.4,149 Ratings,30 ml Drop,Carbo vegetabilis,Relieves stomach aches and gastric disordersPrevents constipationImproves digestion,Digestion
Dr. Reckeweg R41 Sexual Neurasthenia Drop,Dr Reckeweg & Co,ƒ??227,ƒ??270,4.1,1381 Ratings,22 ml Drop,"Acidum phosphoricum, Agnus castus, China, Conium, Damiana, Phosphorus, Sepia, Testis, Aqua, Ethanol",Helps relieve mental and physical exhaustionImproves power and performanceBoosts vigour and vitalityHelps improve energy levels,Mental wellness
Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,Dr Reckeweg & Co,ƒ??165,ƒ??185,4.7,1037 Ratings,20 gm Biochemic Tablet,Calcarea Phosphorica,Aids in relieving teething issues in infantsHelps in stimulating teeth eruptionsAids in recovering from fracture,Dental care
Dr. Reckeweg Berberis Vul Mother Tincture Q,Dr Reckeweg & Co,ƒ??241,ƒ??255,4.5,857 Ratings,20 ml Mother Tincture,Berberis Vulgaris,"Beneficial in case of kidney stones, constipation, and diarrhoeaProvides relief in case of arthritic painsHelps to prevent inflammation and pain in gall bladderBeneficial in skin related ailmentsHelps to overcome pains related to renal calculi",Digestion
LDD Bioscience Tone Max 5000 Drop,LDD Bioscience Pvt Ltd,ƒ??329,ƒ??370,,,30 ml Drop,Damiana,Improves and stimulates libido and increase vigourHas aphrodisiac properties and improves overall health,Health supplement
SBL Clearstone Drop,SBL Pvt Ltd,ƒ??137,ƒ??165,4.5,965 Ratings,30 ml Drop,"Berberis vulgaris Q, Sarsaparilla Q, Ocimum canum Q, Solidago virgaurea Q, Pareira brava Q, Senecio aureus Q, Excipients, Alcohol",It is useful in case of kidney and ureter stonesIt helps to relieve the urinary tract blockageIt helps to dissolve the stones in the kidney,kidney
Bakson Y-Lax Tablet,Bakson Drugs & Pharmaceuticals Pvt. Ltd.,ƒ??154,ƒ??215,4.5,755 Ratings,75 tablets,,"Bakson Y Lax tablets are effective homeopathic tablets for constipation that are indicated in constipationY Lax tablets help in overall improvement of digestive healthUsed to relieve the associated complaints of bloating sensation, flatulence, abdominal pain and straining during defecationY Lax tablets have a laxative action that helps in toning up the intestines, regulating the bowel habits",Digestion
SBL Nux Vomica Dilution 30 CH,SBL Pvt Ltd,ƒ??88,ƒ??100,4.6,2500 Ratings,30 ml Dilution,Helps improve mood swings and anger,"Useful for irritability, nausea, and vomiting


Provides relief in case of severe headaches and irritation in the eyes


Facilitates aid in case of flu, mouth ulcers, and tooth sensitivity",Eye Care
Wheezal WL58 Dengue Drop,Wheezal Homeo Pharma,ƒ??171,ƒ??175,,,30 ml Drop,,Helps in quick recovery in case of dengue attackHelps in relieving the symptoms of dengue disease,Fever
SBL Berberis Vulgaris Mother Tincture Q,SBL Pvt Ltd,ƒ??92.4,ƒ??105,4.6,909 Ratings,30 ml Mother Tincture,Effective for kidney stones and pains associated with it,Useful in case of renal calculi or kidney stonesHelps to provide relief in case of constipation and diarrheaHelps to reduce inflammation and pain in the gallbladderHelps to counter arthritic painsFacilitates relief in skin-related illness,Digestion
Bhargava Spondin Drop,Bhargava Phytolab,ƒ??166,ƒ??185,4.6,1139 Ratings,30 ml Drop,"Cuprum metallicium 6X, Ruta graveolens 3X, Dulcamera 3X, Conium maculatum 3X, Ledum palustre 2X, Hypericum perforatum 5X, Colocynthis vulgaris 3X","Useful in case of Cervical SpondylitisWorks to provide relief in case of neuralgia, chronic pain, joint pain, sharp back spasmHelps to reduce pain between shoulders, vertigo, and headache",Joint
Dr. Reckeweg R13 Hemorrhoidal Drop,Dr Reckeweg & Co,ƒ??233,ƒ??270,4.4,728 Ratings,22 ml Drop,"Acidum nitricum, Aesculus, Collinsonia canadensis, Hamamelis, Kalium carbonicum, Graphaites, Lycopodium, Nux vom, Paeonia officinalis, Sulfur, Alcohol","Provides relief for flatulence, backachesRelieves from eczema and itchingAids in relieving burning of external hemorrhoids mucosa",Skin care
Medisynth Wartex Cream,Medisynth Chemicals Pvt Ltd,ƒ??89,ƒ??100,4,284 Ratings,20 gm Cream,,Helps to prevent warts and cornReduces inflammationReduces scars,Skin care
Dr. Reckeweg R25 Prostatitis Drop,Dr Reckeweg & Co,ƒ??232,ƒ??270,4.5,609 Ratings,22 ml Drop,"Chimaphila umbellata, Clematis, Conium, Ferrum picrinicum, Pareira brava, Populus tremul, Pulsatilla, Sabal serrulatum, Ethanol, Aqua, Alcohol",Relieves frequent and painful urinationImproves pain in the bladder and the urethraUseful for glairy and gravel in the urineEliminates intermittent urination and long waiting until emission,kidney
Dr. Reckeweg R73 Joint Pain Drop,Dr Reckeweg & Co,ƒ??232,ƒ??270,4.5,772 Ratings,22 ml Drop,"Acidum sulfuricum, Argentum, Arnica, Bryonia, Causticum Hahnemann, Ledum, Alcohol",Provides relief in joint painHelps relieve rheumatic and arthritis painReduces joint inflammation and stiffness,Joint
SBL Stobal Cough Syrup,SBL Pvt Ltd,ƒ??154,ƒ??175,4.6,1445 Ratings,180 ml Syrup,It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tract,"It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tractActs on dry coughs, irritation in the throat and coughs associated with bronchitis, and laryngitisIt reduces spasmodic irritation of the chestA homeopathy cough medicine that removes phlegm and relieves difficulty in swallowing",Throat care
LDD Bioscience Tone-Max Syrup,LDD Bioscience Pvt Ltd,ƒ??182,ƒ??200,,,180 ml Syrup,,"Treats general debility, nervous exhaustion, impotence, and issues with dischargeHelps relieve pain due to an enlarged prostate, swollen and tender testicles, or in pelvic areasCan be useful as a restorative tonic in conditions of fatigue",Mental wellness
ADEL Diacard Gold Madaus Drop Homeopathic Medicine,Adel Pekana Germany,ƒ??493,ƒ??550,4.6,392 Ratings,25 ml Drop,"Cactus grandiflorus.2X, Crataegus, Strophantus 4X, Camphora 2X, Aether, Sulfuricus. 1X, Aurum. Mur. Natr. 4X, Valeriana, Alcohol",Strengthens and tones the heart musclesReduces pulse acceleration and improves rhythm disturbancesStimulates the cardiovascular systemDilates the coronary arteries and improves circulation,ENT
Bakson Aller Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. Ltd.,ƒ??440,ƒ??500,4.5,655 Ratings,200 tablets,"Bakson's Aller Aid Tablet helps relieve symptoms of allergies such as hay fever, hives, conjunctivitis and reactions to insect bites or stings","Aller Aid Tablets provide relief from hay feverNo side effects like drowsiness or disturbance in daily routineAller Aid Tablets are indicated for sinus congestionAller Aid tablets are helpful against runny nose, sneezing, watery eyesHelps relieve fever and body ache due to allergies",ENT
SBL Calcarea Fluorica Biochemic Tablet 6X,SBL Pvt Ltd,ƒ??88.1,ƒ??110,4.5,1303 Ratings,25 gm Biochemic Tablet,It is primarily used for the management of varicose veins and various skin conditions,It helps manage varicose veins and other skin disordersIt relieves symptoms linked with joint pain and discomfortIt is also helpful in reducing the inflammation of thyroid glandsIt is helpful in the reduction of dental cavities and bleeding gums,Joint
Medisynth Pilen Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.3,288 Ratings,30 ml Drop,Acidum Nitricum,"Addresses problems related to pilesSoothes pain in the areaHelps with constipation problemsHelps with bleeding, non-bleeding, internal, external and blind haemorrhoidsSafe for consumption",Digestion
SBL Arnica Montana Dilution 200 CH,SBL Pvt Ltd,ƒ??99.1,ƒ??115,4.6,2278 Ratings,30 ml Dilution,The dilution can help reduce pain in the head,Reduces swelling and soreness in the injured areaRestricts bleeding around the injured areaIt is primarily used for the treatment of post-injury bruises and sores,ENT
